id	name	type	egg_group	hp	attack	defense	special-attack	special-defense	height	weight	speed	generation
1	bulbasaur	grass,poison	plant,monster	45	49	49	65	65	7	69	45	generation-i
2	ivysaur	grass,poison	plant,monster	60	62	63	80	80	10	130	60	generation-i
3	venusaur	grass,poison	plant,monster	80	82	83	100	100	20	1000	80	generation-i
4	charmander	fire	dragon,monster	39	52	43	60	50	6	85	65	generation-i
5	charmeleon	fire	dragon,monster	58	64	58	80	65	11	190	80	generation-i
6	charizard	fire,flying	dragon,monster	78	84	78	109	85	17	905	100	generation-i
7	squirtle	water	water1,monster	44	48	65	50	64	5	90	43	generation-i
8	wartortle	water	water1,monster	59	63	80	65	80	10	225	58	generation-i
9	blastoise	water	water1,monster	79	83	100	85	105	16	855	78	generation-i
10	caterpie	bug	bug	45	30	35	20	20	3	29	45	generation-i
11	metapod	bug	bug	50	20	55	25	25	7	99	30	generation-i
12	butterfree	bug,flying	bug	60	45	50	90	80	11	320	70	generation-i
13	weedle	bug,poison	bug	40	35	30	20	20	3	32	50	generation-i
14	kakuna	bug,poison	bug	45	25	50	25	25	6	100	35	generation-i
15	beedrill	bug,poison	bug	65	90	40	45	80	10	295	75	generation-i
16	pidgey	normal,flying	flying	40	45	40	35	35	3	18	56	generation-i
17	pidgeotto	normal,flying	flying	63	60	55	50	50	11	300	71	generation-i
18	pidgeot	normal,flying	flying	83	80	75	70	70	15	395	101	generation-i
19	rattata	normal	ground	30	56	35	25	35	3	35	72	generation-i
20	raticate	normal	ground	55	81	60	50	70	7	185	97	generation-i
21	spearow	normal,flying	flying	40	60	30	31	31	3	20	70	generation-i
22	fearow	normal,flying	flying	65	90	65	61	61	12	380	100	generation-i
23	ekans	poison	dragon,ground	35	60	44	40	54	20	69	55	generation-i
24	arbok	poison	dragon,ground	60	85	69	65	79	35	650	80	generation-i
25	pikachu	electric	fairy,ground	35	55	40	50	50	4	60	90	generation-i
26	raichu	electric	fairy,ground	60	90	55	90	80	8	300	110	generation-i
27	sandshrew	ground	ground	50	75	85	20	30	6	120	40	generation-i
28	sandslash	ground	ground	75	100	110	45	55	10	295	65	generation-i
29	nidoran-f	poison	ground,monster	55	47	52	40	40	4	70	41	generation-i
30	nidorina	poison	no-eggs	70	62	67	55	55	8	200	56	generation-i
31	nidoqueen	poison,ground	no-eggs	90	92	87	75	85	13	600	76	generation-i
32	nidoran-m	poison	ground,monster	46	57	40	40	40	5	90	50	generation-i
33	nidorino	poison	ground,monster	61	72	57	55	55	9	195	65	generation-i
34	nidoking	poison,ground	ground,monster	81	102	77	85	75	14	620	85	generation-i
35	clefairy	fairy	fairy	70	45	48	60	65	6	75	35	generation-i
36	clefable	fairy	fairy	95	70	73	95	90	13	400	60	generation-i
37	vulpix	fire	ground	38	41	40	50	65	6	99	65	generation-i
38	ninetales	fire	ground	73	76	75	81	100	11	199	100	generation-i
39	jigglypuff	normal,fairy	fairy	115	45	20	45	25	5	55	20	generation-i
40	wigglytuff	normal,fairy	fairy	140	70	45	85	50	10	120	45	generation-i
41	zubat	poison,flying	flying	40	45	35	30	40	8	75	55	generation-i
42	golbat	poison,flying	flying	75	80	70	65	75	16	550	90	generation-i
43	oddish	grass,poison	plant	45	50	55	75	65	5	54	30	generation-i
44	gloom	grass,poison	plant	60	65	70	85	75	8	86	40	generation-i
45	vileplume	grass,poison	plant	75	80	85	110	90	12	186	50	generation-i
46	paras	bug,grass	plant,bug	35	70	55	45	55	3	54	25	generation-i
47	parasect	bug,grass	plant,bug	60	95	80	60	80	10	295	30	generation-i
48	venonat	bug,poison	bug	60	55	50	40	55	10	300	45	generation-i
49	venomoth	bug,poison	bug	70	65	60	90	75	15	125	90	generation-i
50	diglett	ground	ground	10	55	25	35	45	2	8	95	generation-i
51	dugtrio	ground	ground	35	80	50	50	70	7	333	120	generation-i
52	meowth	normal	ground	40	45	35	40	40	4	42	90	generation-i
53	persian	normal	ground	65	70	60	65	65	10	320	115	generation-i
54	psyduck	water	ground,water1	50	52	48	65	50	8	196	55	generation-i
55	golduck	water	ground,water1	80	82	78	95	80	17	766	85	generation-i
56	mankey	fighting	ground	40	80	35	35	45	5	280	70	generation-i
57	primeape	fighting	ground	65	105	60	60	70	10	320	95	generation-i
58	growlithe	fire	ground	55	70	45	70	50	7	190	60	generation-i
59	arcanine	fire	ground	90	110	80	100	80	19	1550	95	generation-i
60	poliwag	water	water1	40	50	40	40	40	6	124	90	generation-i
61	poliwhirl	water	water1	65	65	65	50	50	10	200	90	generation-i
62	poliwrath	water,fighting	water1	90	95	95	70	90	13	540	70	generation-i
63	abra	psychic	humanshape	25	20	15	105	55	9	195	90	generation-i
64	kadabra	psychic	humanshape	40	35	30	120	70	13	565	105	generation-i
65	alakazam	psychic	humanshape	55	50	45	135	95	15	480	120	generation-i
66	machop	fighting	humanshape	70	80	50	35	35	8	195	35	generation-i
67	machoke	fighting	humanshape	80	100	70	50	60	15	705	45	generation-i
68	machamp	fighting	humanshape	90	130	80	65	85	16	1300	55	generation-i
